moody_lighting,图片属性>光照>氛围光照
flustered,人物属性>情绪>慌张|慌乱的|心慌
grimace,人物属性>情绪>扭曲的脸|(因痛苦、厌恶等)做怪相|鬼脸
happy,人物属性>情绪>快乐的|快乐/幸福
nervous,人物属性>情绪>紧张的|不安的
nosebleed,人物属性>情绪>鼻血|流鼻血
one_eye_closed,人物属性>情绪>一只眼睛闭上|一只眼睛闭着
open_mouth,人物属性>情绪>张开嘴|张口
parted_lips,人物属性>情绪>分开的嘴唇|嘴唇微张
pain,人物属性>情绪>疼痛|痛苦
pout,人物属性>情绪>撅嘴|努嘴|噘嘴
raised_eyebrow,人物属性>情绪>扬眉|挑眉
rolling_eyes,人物属性>情绪>翻白眼|眼睛抬头
sad,人物属性>情绪>伤心|悲伤的
frown,人物属性>情绪>皱眉|皱眉/蹙额
gloom_(expression),人物属性>情绪>脸上有黑线或阴影|消沉(表情)|忧郁(表情)
tears,人物属性>情绪>眼泪
scared,人物属性>情绪>惊恐的|害怕的
worried,人物属性>情绪>担心
serious,人物属性>情绪>严肃的|严重的
sleepy,人物属性>情绪>困|困乏的|困了
thinking,人物属性>情绪>思考中
fucked_silly,人物属性>情绪>程度较啊嘿颜更轻
naughty_face,人物属性>情绪>调皮的脸|下流的表情|调皮脸|顽皮的脸
crazy_smile,人物属性>情绪>疯狂的笑容|疯狂的微笑
evil_smile,人物属性>情绪>邪恶的笑容|坏笑|邪恶的微笑
evil_grin,人物属性>情绪>邪恶的露齿笑|坏笑|邪恶的笑容
light_smile,人物属性>情绪>微笑|浅笑
smug,人物属性>情绪>得意脸|自鸣得意
doyagao,人物属性>情绪>得意脸日语|多亚高
smirk,人物属性>情绪>单侧嘴角上扬|傻笑/得意的笑
surprised,人物属性>情绪>惊讶
wavy_mouth,人物属性>情绪>抿嘴 波浪形嘴|波浪嘴
wince,人物属性>情绪>畏惧的|闭一只眼|畏缩
broad_shoulders,人物属性>肩膀>宽阔的肩膀
shoulder_blades,人物属性>肩膀>肩胛骨
epaulettes,人物属性>肩膀>肩章
pauldrons,人物属性>肩膀>肩铠|肩章
puffy_sleeves,人物属性>肩膀>蓬松的袖子
shoulder_pads,人物属性>肩膀>肩垫
jacket_on_shoulders,人物属性>肩膀>披在肩上的夹克|肩部夹克
bare_shoulders,人物属性>肩膀>裸露的肩膀|露双肩
off_shoulder,人物属性>肩膀>衣服从肩膀滑下|露单肩|露肩
strap_slip,人物属性>肩膀>肩带滑下|背带滑
towel_around_neck,人物属性>肩膀>毛巾围在脖子上|脖子上的毛巾
sword_over_shoulder,人物属性>肩膀>肩扛剑|剑在肩上
hand_on_shoulder,人物属性>肩膀>手搭在肩上|手放在肩上
hands_on_shoulders,人物属性>肩膀>双手放在肩膀上
carrying_over_shoulder,人物属性>肩膀>肩扛
piggyback,人物属性>肩膀>手托式背人|搭载
shoulder_carry,人物属性>肩膀>肩扛式背人
bird_on_shoulder,人物属性>肩膀>肩上有鸟|肩上的鸟
hair_over_shoulder,人物属性>肩膀>头发披在肩上|披肩发|头发过肩
over_shoulder,人物属性>肩膀>将物品扛在肩上|过肩
shoulder_bag,人物属性>肩膀>单肩包
dark_skin,人物属性>肤色>肤色较深|深色皮肤
pale_skin,人物属性>肤色>肤色偏白|苍白的皮肤
tanlines,人物属性>肤色>晒痕
tan,人物属性>肤色>晒黑的肤色|棕褐色
tail,人物属性>尾巴>尾巴
multiple_tails,人物属性>尾巴>多尾
demon_tail,人物属性>尾巴>恶魔尾巴
dragon_tail,人物属性>尾巴>龙尾
ghost_tail,人物属性>尾巴>鬼尾|幽灵尾巴
bunny_tail,人物属性>尾巴>兔子尾巴
cat_tail,人物属性>尾巴>猫尾巴
cow_tail,人物属性>尾巴>牛尾|牛尾巴
dog_tail,人物属性>尾巴>狗尾巴
fox_tail,人物属性>尾巴>狐尾|狐狸尾巴
horse_tail,人物属性>尾巴>马尾
leopard_tail,人物属性>尾巴>豹尾
mouse_tail,人物属性>尾巴>老鼠尾巴
tiger_tail,人物属性>尾巴>虎尾
wolf_tail,人物属性>尾巴>狼尾
fish_tail,人物属性>尾巴>鱼尾
snake_tail,人物属性>尾巴>蛇尾
tail_bell,人物属性>尾巴>尾上系着铃铛|尾铃
tail_bow,人物属性>尾巴>尾巴上系着蝴蝶结|尾弓
tail_ornament,人物属性>尾巴>尾饰
tail_ribbon,人物属性>尾巴>尾巴上系着丝带|尾丝带
anal_tail,人物属性>尾巴>尾巴玩具|肛尾|肛门尾巴
fake_tail,人物属性>尾巴>假尾巴
heart_tail,人物属性>尾巴>心形的尾巴|心尾
prehensile_tail,人物属性>尾巴>抓着东西的尾巴|可抓握的尾巴
tail_between_legs,人物属性>尾巴>两腿间的尾巴|双腿之间的尾巴
tail_grab,人物属性>尾巴>抓着尾巴|抓尾
tail_raised,人物属性>尾巴>尾巴抬起
tail_wrap,人物属性>尾巴>尾巴缠绕|尾套
wings,人物属性>翅膀>翅膀|翅膀/翼
multiple_wings,人物属性>翅膀>多翼
single_wing,人物属性>翅膀>单翼
large_wings,人物属性>翅膀>大翅膀
mini_wings,人物属性>翅膀>迷你翅膀
angel_wings,人物属性>翅膀>天使的翅膀|天使之翼
demon_wings,人物属性>翅膀>恶魔之翼
dragon_wings,人物属性>翅膀>龙翼
fairy_wings,人物属性>翅膀>妖精的翅膀|仙女翅膀
insect_wings,人物属性>翅膀>昆虫翅膀
butterfly_wings,人物属性>翅膀>蝴蝶翅膀
